Week,Vaccine: (United States)
2015/12/6,12
2015/12/13,12
2015/12/20,9
2015/12/27,9
2016/1/3,12
2016/1/10,12
2016/1/17,12
2016/1/24,13
2016/1/31,13
2016/2/7,12
2016/2/14,13
2016/2/21,14
2016/2/28,13
2016/3/6,13
2016/3/13,12
2016/3/20,13
2016/3/27,13
2016/4/3,13
2016/4/10,15
2016/4/17,14
2016/4/24,13
2016/5/1,13
2016/5/8,13
2016/5/15,13
2016/5/22,13
2016/5/29,13
2016/6/5,13
2016/6/12,13
2016/6/19,12
2016/6/26,13
2016/7/3,12
2016/7/10,14
2016/7/17,14
2016/7/24,14
2016/7/31,16
2016/8/7,14
2016/8/14,15
2016/8/21,15
2016/8/28,16
2016/9/4,15
2016/9/11,16
2016/9/18,16
2016/9/25,17
2016/10/2,16
2016/10/9,16
2016/10/16,16
2016/10/23,16
2016/10/30,14
2016/11/6,13
2016/11/13,14
2016/11/20,10
2016/11/27,13
2016/12/4,13
2016/12/11,11
2016/12/18,10
2016/12/25,9
2017/1/1,11
2017/1/8,16
2017/1/15,14
2017/1/22,14
2017/1/29,13
2017/2/5,14
2017/2/12,14
2017/2/19,15
2017/2/26,14
2017/3/5,13
2017/3/12,13
2017/3/19,13
2017/3/26,13
2017/4/2,14
2017/4/9,14
2017/4/16,15
2017/4/23,15
2017/4/30,15
2017/5/7,15
2017/5/14,14
2017/5/21,14
2017/5/28,13
2017/6/4,14
2017/6/11,14
2017/6/18,14
2017/6/25,15
2017/7/2,14
2017/7/9,14
2017/7/16,15
2017/7/23,15
2017/7/30,16
2017/8/6,17
2017/8/13,15
2017/8/20,14
2017/8/27,14
2017/9/3,13
2017/9/10,15
2017/9/17,17
2017/9/24,17
2017/10/1,17
2017/10/8,17
2017/10/15,18
2017/10/22,18
2017/10/29,16
2017/11/5,16
2017/11/12,16
2017/11/19,15
2017/11/26,16
2017/12/3,15
2017/12/10,14
2017/12/17,12
2017/12/24,10
2017/12/31,12
2018/1/7,16
2018/1/14,17
2018/1/21,18
2018/1/28,19
2018/2/4,17
2018/2/11,17
2018/2/18,15
2018/2/25,15
2018/3/4,15
2018/3/11,15
2018/3/18,15
2018/3/25,15
2018/4/1,15
2018/4/8,16
2018/4/15,16
2018/4/22,17
2018/4/29,16
2018/5/6,16
2018/5/13,15
2018/5/20,15
2018/5/27,14
2018/6/3,15
2018/6/10,16
2018/6/17,16
2018/6/24,16
2018/7/1,14
2018/7/8,16
2018/7/15,17
2018/7/22,19
2018/7/29,17
2018/8/5,18
2018/8/12,19
2018/8/19,18
2018/8/26,18
2018/9/2,16
2018/9/9,17
2018/9/16,17
2018/9/23,19
2018/9/30,20
2018/10/7,20
2018/10/14,22
2018/10/21,20
2018/10/28,19
2018/11/4,18
2018/11/11,17
2018/11/18,15
2018/11/25,18
2018/12/2,17
2018/12/9,16
2018/12/16,14
2018/12/23,12
2018/12/30,15
2019/1/6,17
2019/1/13,17
2019/1/20,18
2019/1/27,24
2019/2/3,22
2019/2/10,22
2019/2/17,21
2019/2/24,21
2019/3/3,25
2019/3/10,22
2019/3/17,20
2019/3/24,22
2019/3/31,20
2019/4/7,24
2019/4/14,24
2019/4/21,27
2019/4/28,31
2019/5/5,24
2019/5/12,22
2019/5/19,19
2019/5/26,17
2019/6/2,19
2019/6/9,19
2019/6/16,20
2019/6/23,19
2019/6/30,15
2019/7/7,17
2019/7/14,17
2019/7/21,17
2019/7/28,18
2019/8/4,18
2019/8/11,19
2019/8/18,19
2019/8/25,18
2019/9/1,16
2019/9/8,19
2019/9/15,20
2019/9/22,21
2019/9/29,21
2019/10/6,22
2019/10/13,21
2019/10/20,21
2019/10/27,19
2019/11/3,20
2019/11/10,19
2019/11/17,20
2019/11/24,14
2019/12/1,17
2019/12/8,17
2019/12/15,16
2019/12/22,13
2019/12/29,14
2020/1/5,17
2020/1/12,19
2020/1/19,18
2020/1/26,21
2020/2/2,20
2020/2/9,19
2020/2/16,19
2020/2/23,30
2020/3/1,33
2020/3/8,48
2020/3/15,58
2020/3/22,40
2020/3/29,42
2020/4/5,41
2020/4/12,39
2020/4/19,38
2020/4/26,39
2020/5/3,41
2020/5/10,40
2020/5/17,43
2020/5/24,30
2020/5/31,24
2020/6/7,27
2020/6/14,31
2020/6/21,35
2020/6/28,36
2020/7/5,38
2020/7/12,54
2020/7/19,50
2020/7/26,46
2020/8/2,42
2020/8/9,52
2020/8/16,42
2020/8/23,37
2020/8/30,44
2020/9/6,43
2020/9/13,42
2020/9/20,38
2020/9/27,37
2020/10/4,37
2020/10/11,39
2020/10/18,41
2020/10/25,36
2020/11/1,27
2020/11/8,85
2020/11/15,84
2020/11/22,70
2020/11/29,100
