Category: All categories

Week,Vaccine: (United States)
2015-12-06,12
2015-12-13,12
2015-12-20,9
2015-12-27,9
2016-01-03,12
2016-01-10,12
2016-01-17,12
2016-01-24,13
2016-01-31,13
2016-02-07,12
2016-02-14,13
2016-02-21,14
2016-02-28,13
2016-03-06,13
2016-03-13,12
2016-03-20,13
2016-03-27,13
2016-04-03,13
2016-04-10,15
2016-04-17,14
2016-04-24,13
2016-05-01,13
2016-05-08,13
2016-05-15,13
2016-05-22,13
2016-05-29,13
2016-06-05,13
2016-06-12,13
2016-06-19,12
2016-06-26,13
2016-07-03,12
2016-07-10,14
2016-07-17,14
2016-07-24,14
2016-07-31,16
2016-08-07,14
2016-08-14,15
2016-08-21,15
2016-08-28,16
2016-09-04,15
2016-09-11,16
2016-09-18,16
2016-09-25,17
2016-10-02,16
2016-10-09,16
2016-10-16,16
2016-10-23,16
2016-10-30,14
2016-11-06,13
2016-11-13,14
2016-11-20,10
2016-11-27,13
2016-12-04,13
2016-12-11,11
2016-12-18,10
2016-12-25,9
2017-01-01,11
2017-01-08,16
2017-01-15,14
2017-01-22,14
2017-01-29,13
2017-02-05,14
2017-02-12,14
2017-02-19,15
2017-02-26,14
2017-03-05,13
2017-03-12,13
2017-03-19,13
2017-03-26,13
2017-04-02,14
2017-04-09,14
2017-04-16,15
2017-04-23,15
2017-04-30,15
2017-05-07,15
2017-05-14,14
2017-05-21,14
2017-05-28,13
2017-06-04,14
2017-06-11,14
2017-06-18,14
2017-06-25,15
2017-07-02,14
2017-07-09,14
2017-07-16,15
2017-07-23,15
2017-07-30,16
2017-08-06,17
2017-08-13,15
2017-08-20,14
2017-08-27,14
2017-09-03,13
2017-09-10,15
2017-09-17,17
2017-09-24,17
2017-10-01,17
2017-10-08,17
2017-10-15,18
2017-10-22,18
2017-10-29,16
2017-11-05,16
2017-11-12,16
2017-11-19,15
2017-11-26,16
2017-12-03,15
2017-12-10,14
2017-12-17,12
2017-12-24,10
2017-12-31,12
2018-01-07,16
2018-01-14,17
2018-01-21,18
2018-01-28,19
2018-02-04,17
2018-02-11,17
2018-02-18,15
2018-02-25,15
2018-03-04,15
2018-03-11,15
2018-03-18,15
2018-03-25,15
2018-04-01,15
2018-04-08,16
2018-04-15,16
2018-04-22,17
2018-04-29,16
2018-05-06,16
2018-05-13,15
2018-05-20,15
2018-05-27,14
2018-06-03,15
2018-06-10,16
2018-06-17,16
2018-06-24,16
2018-07-01,14
2018-07-08,16
2018-07-15,17
2018-07-22,19
2018-07-29,17
2018-08-05,18
2018-08-12,19
2018-08-19,18
2018-08-26,18
2018-09-02,16
2018-09-09,17
2018-09-16,17
2018-09-23,19
2018-09-30,20
2018-10-07,20
2018-10-14,22
2018-10-21,20
2018-10-28,19
2018-11-04,18
2018-11-11,17
2018-11-18,15
2018-11-25,18
2018-12-02,17
2018-12-09,16
2018-12-16,14
2018-12-23,12
2018-12-30,15
2019-01-06,17
2019-01-13,17
2019-01-20,18
2019-01-27,24
2019-02-03,22
2019-02-10,22
2019-02-17,21
2019-02-24,21
2019-03-03,25
2019-03-10,22
2019-03-17,20
2019-03-24,22
2019-03-31,20
2019-04-07,24
2019-04-14,24
2019-04-21,27
2019-04-28,31
2019-05-05,24
2019-05-12,22
2019-05-19,19
2019-05-26,17
2019-06-02,19
2019-06-09,19
2019-06-16,20
2019-06-23,19
2019-06-30,15
2019-07-07,17
2019-07-14,17
2019-07-21,17
2019-07-28,18
2019-08-04,18
2019-08-11,19
2019-08-18,19
2019-08-25,18
2019-09-01,16
2019-09-08,19
2019-09-15,20
2019-09-22,21
2019-09-29,21
2019-10-06,22
2019-10-13,21
2019-10-20,21
2019-10-27,19
2019-11-03,20
2019-11-10,19
2019-11-17,20
2019-11-24,14
2019-12-01,17
2019-12-08,17
2019-12-15,16
2019-12-22,13
2019-12-29,14
2020-01-05,17
2020-01-12,19
2020-01-19,18
2020-01-26,21
2020-02-02,20
2020-02-09,19
2020-02-16,19
2020-02-23,30
2020-03-01,33
2020-03-08,48
2020-03-15,58
2020-03-22,40
2020-03-29,42
2020-04-05,41
2020-04-12,39
2020-04-19,38
2020-04-26,39
2020-05-03,41
2020-05-10,40
2020-05-17,43
2020-05-24,30
2020-05-31,24
2020-06-07,27
2020-06-14,31
2020-06-21,35
2020-06-28,36
2020-07-05,38
2020-07-12,54
2020-07-19,50
2020-07-26,46
2020-08-02,42
2020-08-09,52
2020-08-16,42
2020-08-23,37
2020-08-30,44
2020-09-06,43
2020-09-13,42
2020-09-20,38
2020-09-27,37
2020-10-04,37
2020-10-11,39
2020-10-18,41
2020-10-25,36
2020-11-01,27
2020-11-08,85
2020-11-15,84
2020-11-22,70
2020-11-29,100
